site no.,EW coord,NS coord,precip,elev,age,geology,
B0,625753.97,1011568.99,2530,120,3,Tb,
B1,625753.97,1011668.99,2530,120,3,Tb,
B2,625753.97,1011768.99,2530,120,3,Tb,
B3,625753.97,1011868.99,2530,120,3,Tb,
B4,625753.97,1011968.99,2530,120,3,Tb,
B5,625853.97,1011568.99,2530,120,3,Tb,
B6,625853.97,1011668.99,2530,120,3,Tb,
B7,625853.97,1011768.99,2530,120,3,Tb,
B8,625853.97,1011868.99,2530,120,3,Tb,
B9,625853.97,1011968.99,2530,120,3,Tb,
B10,625953.97,1011568.99,2530,120,3,Tb,
B11,625953.97,1011668.99,2530,120,3,Tb,
B12,625953.97,1011768.99,2530,120,3,Tb,
B13,625953.97,1011868.99,2530,120,3,Tb,
B14,625953.97,1011968.99,2530,120,3,Tb,
B15,626053.97,1011568.99,2530,120,3,Tb,
B16,626053.97,1011668.99,2530,120,3,Tb,
B17,626053.97,1011768.99,2530,120,3,Tb,
B18,626053.97,1011868.99,2530,120,3,Tb,
B19,626053.97,1011968.99,2530,120,3,Tb,
B20,626153.97,1011568.99,2530,120,3,Tb,
B21,626153.97,1011668.99,2530,120,3,Tb,
B22,626153.97,1011768.99,2530,120,3,Tb,
B23,626153.97,1011868.99,2530,120,3,Tb,
B24,626153.97,1011968.99,2530,120,3,Tb,
B25,626253.97,1011568.99,2530,120,3,Tb,
B26,626253.97,1011668.99,2530,120,3,Tb,
B27,626253.97,1011768.99,2530,120,3,Tb,
B28,626253.97,1011868.99,2530,120,3,Tb,
B29,626253.97,1011968.99,2530,120,3,Tb,
B30,626353.97,1011568.99,2530,120,3,Tb,
B31,626353.97,1011668.99,2530,120,3,Tb,
B32,626353.97,1011768.99,2530,120,2,Tb,
B33,626353.97,1011868.99,2530,120,3,Tb,
B34,626353.97,1011968.99,2530,120,3,Tb,
B35,626453.97,1011568.99,2530,120,3,Tb,
B36,626453.97,1011668.99,2530,120,3,Tb,
B37,626453.97,1011768.99,2530,120,3,Tb,
B38,626453.97,1011868.99,2530,120,3,Tb,
B39,626453.97,1011968.99,2530,120,3,Tb,
B40,626553.97,1011568.99,2530,120,3,Tb,
B41,626553.97,1011668.99,2530,120,3,Tb,
B42,626553.97,1011768.99,2530,120,3,Tb,
B43,626553.97,1011868.99,2530,120,3,Tb,
B44,626553.97,1011968.99,2530,120,3,Tb,
B45,626653.97,1011568.99,2530,120,3,Tb,
B46,626653.97,1011668.99,2530,120,3,Tb,
B47,626653.97,1011768.99,2530,120,3,Tb,
B48,626653.97,1011868.99,2530,120,3,Tb,
B49,626653.97,1011968.99,2530,120,3,Tb,
p1,614856.89,1031786.40,2993.1999512,20,2,Tct,
p2,613985.39,1030725.35,3072,100,3,Tc,
p3,614674.34,1023801.51,3007.3999023,180,1,Tc,
p4,615018.57,1023547.89,2999.8000488,180,1,Tc,
p5,637157.81,1012427.87,2414.3000488,40,2,Tgo,
p6,637983.73,1012395.13,2393.6999512,30,2,Tgo,
p7,638143.98,1012885.56,2438.3999023,60,1,Tgo,
p8,637732.27,1013699.35,2455.5,50,3,pT,
p9,638364.77,1013754.24,2889.3000488,410,3,pT,
p10,625401.78,1011039.31,2529.3000488,90,3,Tcm,"Andres and Salomon called this plot age 2, but it is in BCI old growth"
p11,623291.08,1011064.61,2515.5,60,3,Tcm,
p12,628587.26,1014891.28,2496.8000488,10,2,Tbo,check age of these
p13,629528.93,1015836.24,2576.3000488,55,2,Tcm,check age of these
p14,625124.62,1012544.66,2534.6999512,60,3,Tcm,
p15,637861.00,1012976.03,2455,70,3,Tgo,
p16,641463.92,1011327.96,2501.8000488,160,3,pT,
p17,641108.25,1011887.93,2470.6000977,120,3,pT,
p18,622784.71,1010902.86,2510.8000488,58,2,Tcm,
p19,634683.00,1017102.00,2687.6999512,160,1,pT,check age of these
p20,635754.00,1016123.00,2657.5,160,1,pT,check age of these
p21,643560.09,1010755.01,2411.3999023,110,1,Tgo,
p22,643599.33,1011461.24,2513.6999512,180,1,Tb,
p23,645805.12,1008575.31,2247.5,30,2,Tlc,
p24,645415.96,1008797.40,2279.8000488,50,2,Tlc,
p25,632002.57,1003751.30,2334.3000488,110,2,pT,
p26,633321.97,1003528.65,2251.8999023,50,2,pT,
p27,648907.02,1004027.47,2305.1000977,180,1,Tl,
p28,649196.44,1004697.46,2293.6999512,160,1,Tl,
p29,649677.75,993572.63,1968.5,100,1,Tb,
p30,649221.00,994670.00,2096.3000488,180,1,Tb,
p31,637474.34,1034700.33,3291.6999512,343,3,pT,
p32,639831.70,1034474.80,3293.1000977,363,3,pT,
p33,647619.70,1038364.10,3615.3000488,600,3,pT,
p34,660392.90,1041453.10,3106.8000488,210,3,pT,
p35,656576.80,1045986.90,4001.6999512,830,3,pT,
p36,661790.00,1039037.00,3029.3999023,200,3,pT,
p37,688165.00,1030608.70,3133.8999023,600,3,pT,
p38,600713.50,962861.50,2517.3999023,810,1,pT,
p39,601167.40,966019.10,2400.5,660,1,pT,
p40,670203.90,1026675.40,#N/A,#N/A,#N/A,#N/A,
p41,674031.80,1027110.70,#N/A,#N/A,#N/A,#N/A,
C1,651916.46,993635.54,1887.5,50,1,pT,
C2,651916.46,993735.54,1889.6999512,50,1,pT,
C3,651916.46,993835.54,1892,50,1,pT,
C4,652016.46,993635.54,1886.6999512,50,1,Tb,
S0,612610.16,1026067.19,3026.3999023,140,2,Tc,
S1,612710.16,1026067.19,3025.6999512,140,2,Tc,
S2,612710.16,1026167.19,3027.8999023,140,2,Tc,
S3,612710.16,1026267.19,3030.1999512,140,2,Tc,
S4,612710.16,1026367.19,3032.3999023,140,1,Tc,
